"id","is_active","moderation_status","text","time","title","view_count","moderator_id","user_id"
"1","1","NEW","post 1 text","2021-05-10T23:50","title for post 1","35","NULL","1"
"2","1","ACCEPTED","post 2 text","2021-05-07T23:50","title for post 2","105","NULL","1"
"3","1","ACCEPTED","post 3 text","2021-05-10T23:50","title for post 3","45","NULL","2"
"4","1","ACCEPTED","post 4 text","2021-05-11T23:50","title for post 4","25","NULL","2"
"5","1","ACCEPTED","post 5 text","2020-06-11T23:50","title for post 5","135","NULL","3"
"6","1","ACCEPTED","post 6 text","2020-07-11T23:50","title for post 6","12","NULL","3"
"7","1","ACCEPTED","post 7 text","2020-08-11T23:50","title for post 7","12","NULL","3"
"8","1","ACCEPTED","post 8 text","2021-05-07T23:50","title for post 8","105","NULL","1"
"9","1","ACCEPTED","post 9 text","2021-06-07T23:50","title for post 9","125","NULL","2"
"10","1","ACCEPTED","post 10 text","2020-12-11T23:50","title for post 10","122","NULL","3"
"11","1","ACCEPTED","post 11 text","2021-07-02T23:50","title for post 11","16","NULL","2"
"12","1","ACCEPTED","post 12 text","2021-07-02T23:50","title for post 12","54","NULL","2"
